Raman Shift (cm-1),reference styrene
2947,3801.57836914063
2946,4091.66943359375
2945,4436.3095703125
2944,4867.6962890625
2943,5292.5771484375
2942,5660.388671875
2941,5985.7783203125
2940,6296.443359375
2939,6495.279296875
2938,6555.736328125
2937,6520.720703125
2936,6406.80224609375
2935,6290.759765625
2934,6193.97412109375
2933,6059.1357421875
2932,5904.17431640625
2931,5880.77734375
2930,6027.97900390625
2929,6124.1484375
2928,6283.67919921875
2927,6540.6064453125
2926,6752.63818359375
2925,6843.85888671875
2924,6920.79931640625
2923,6958.734375
2922,6740.87158203125
2921,6527.41943359375
2920,6357.6796875
2919,6106.60302734375
2918,5871.4921875
2917,5629.78759765625
2916,5379.583984375
2915,5184.71240234375
2914,5003.35302734375
2913,4881.0908203125
2912,4813.48291015625
2911,4635.87158203125
2910,4501.677734375
2909,4423.21484375
2908,4268.51416015625
2907,4203.58349609375
2906,4189.0322265625
2905,4135.7822265625
2904,4089.88061523438
2903,4052.84521484375
2902,4038.81103515625
2901,4054.39624023438
2900,4038.2080078125
2899,4008.00048828125
2898,3984.97290039063
2897,3951.58325195313
2896,3941.41430664063
2895,3950.48388671875
2894,3948.70678710938
2893,3933.57177734375
2892,3911.15551757813
2891,3918.93872070313
2890,3978.11889648438
2889,3952.54931640625
2888,3919.58666992188
2887,3975.99755859375
2886,3976.05688476563
2885,3977.74926757813
2884,4091.05737304688
2883,4351.91064453125
2882,4684.64306640625
2881,5034.716796875
2880,5457.5673828125
2879,6035.16552734375
2878,6245.84619140625
2877,5857.98974609375
2876,5181.54150390625
2875,4642.87939453125
2874,4373.83154296875
2873,4279.70068359375
2872,4213.05126953125
2871,4150.82763671875
2870,4123.99658203125
2869,4158.80322265625
2868,4234.26025390625
2867,4306.33935546875
2866,4365.982421875
2865,4463.1318359375
2864,4618.47705078125
2863,4813.04248046875
2862,5045.94140625
2861,5412.595703125
2860,5877.66162109375
2859,6386.94384765625
2858,6956.41845703125
2857,7546.21875
2856,8135.59375
2855,8682.484375
2854,9028.4560546875
2853,9143.3681640625
2852,9056.59375
2851,8764.375
2850,8220.623046875
2849,7538.7802734375
2848,6914.5185546875
2847,6371.755859375
2846,5826.82421875
2845,5259.3857421875
2844,4779.923828125
2843,4407.26904296875
2842,4085.43969726563
2841,3760.81372070313
2840,3481.64477539063
2839,3271.29028320313
2838,3081.21630859375
2837,2835.0390625
2836,2665.62646484375
2835,2561.18359375
2834,2395.86157226563
2833,2229.99975585938
2832,2100.24560546875
2831,1992.26391601563
2830,1874.16235351563
2829,1784.86401367188
2828,1720.65856933594
2827,1631.53149414063
2826,1516.26647949219
2825,1434.07556152344
2824,1391.75744628906
2823,1294.49365234375
2822,1220.46520996094
2821,1185.75
2820,1120.74975585938
2819,1070.72802734375
