Raman Shift (cm-1),reference isoprene
2946,4523.61181640625
2945,4860.638671875
2944,5339.9130859375
2943,5853.4111328125
2942,6293.65673828125
2941,6648.123046875
2940,6978.13232421875
2939,7204.41943359375
2938,7273.17041015625
2937,7213.40234375
2936,7100.38037109375
2935,6898.58544921875
2934,6717.20068359375
2933,6733.16162109375
2932,6624.669921875
2931,6545.0048828125
2930,6719.35009765625
2929,6893.60595703125
2928,7066.50390625
2927,7237.470703125
2926,7368.9501953125
2925,7552.4833984375
2924,7637.28369140625
2923,7559.380859375
2922,7492.0625
2921,7288.8095703125
2920,6973.5224609375
2919,6699.974609375
2918,6453.97216796875
2917,6170.96435546875
2916,5889.408203125
2915,5717.60986328125
2914,5551.24658203125
2913,5358.609375
2912,5185.88427734375
2911,5060.9990234375
2910,4922.09619140625
2909,4784.0849609375
2908,4714.05859375
2907,4635.73291015625
2906,4577.01220703125
2905,4566.63330078125
2904,4533.2177734375
2903,4451.91455078125
2902,4374.41259765625
2901,4361.12109375
2900,4368.783203125
2899,4348.265625
2898,4305.97265625
2897,4290.8935546875
2896,4258.25
2895,4214.58056640625
2894,4187.39501953125
2893,4143.24755859375
2892,4147.71923828125
2891,4197.2431640625
2890,4190.67333984375
2889,4156.8740234375
2888,4155.90771484375
2887,4174.81201171875
2886,4101.31494140625
2885,4046.41259765625
2884,4090.11547851563
2883,4187.12744140625
2882,4305.11083984375
2881,4488.6904296875
2880,4755.7646484375
2879,5001.845703125
2878,5120.4970703125
2877,4992.3525390625
2876,4617.78759765625
2875,4351.8115234375
2874,4267.0703125
2873,4252.73095703125
2872,4235.025390625
2871,4218.05517578125
2870,4249.28466796875
2869,4334.287109375
2868,4344.068359375
2867,4370.91845703125
2866,4507.2724609375
2865,4668.0107421875
2864,4860.87158203125
2863,5118.966796875
2862,5452.30859375
2861,5833.201171875
2860,6277.19677734375
2859,6823.77099609375
2858,7496.2626953125
2857,8249.69140625
2856,8929.380859375
2855,9422.669921875
2854,9865.6806640625
2853,9999.5029296875
2852,9708.876953125
2851,9315.1318359375
2850,8757.8544921875
2849,8042.15625
2848,7314.7138671875
2847,6669.517578125
2846,6110.4853515625
2845,5597.13525390625
2844,5097.38232421875
2843,4638.7421875
2842,4291.83349609375
2841,4064.36547851563
2840,3775.75952148438
2839,3471.78881835938
2838,3236.00903320313
2837,3017.82592773438
2836,2800.66088867188
2835,2619.46264648438
2834,2500.94653320313
2833,2371.60107421875
2832,2249.59887695313
2831,2146.17309570313
2830,2004.65966796875
2829,1924.29064941406
2828,1861.2177734375
2827,1698.98193359375
2826,1606.13220214844
2825,1551.42395019531
2824,1454.97583007813
2823,1380.78344726563
2822,1321.37438964844
2821,1255.74328613281
2820,1186.54650878906
2819,1135.83752441406
2818,1073.01123046875
2817,986.7421875
2816,946.893737792969
2815,931.452575683594
2814,901.851440429688
2813,850.785034179688
2812,798.014587402344
2811,763.275634765625
2810,750.487976074219
2809,738.411071777344
2808,698.366027832031
2807,642.622009277344
2806,620.692993164063
2805,622.740478515625
2804,618.141479492188
2803,594.920166015625
2802,586.795593261719
2801,581.109191894531
2800,563.781555175781
2799,549.797302246094
2798,536.230651855469
2797,516.982666015625
2796,489.75
2795,458.232299804688
2794,444.313903808594
2793,446.138793945313
2792,420.074645996094
2791,385.754180908203
2790,369.798614501953
2789,370.645477294922
2788,353.212371826172
2787,328.711730957031
2786,318.218597412109
2785,302.342529296875
2784,304.360137939453
2783,315.075805664063
2782,288.697845458984
2781,277.481323242188
2780,275.363800048828
2779,248.561340332031
2778,243.249084472656
2777,244.248764038086
2776,230.960098266602
2775,223.340759277344
2774,215.248321533203
2773,211.702026367188
2772,223.110137939453
2771,221.721069335938
2770,210.787979125977
2769,207.872543334961
2768,210.70068359375
2767,201.645874023438
2766,185.058456420898
2765,184.779327392578
2764,177.67317199707
2763,164.694427490234
2762,162.983581542969
2761,163.040863037109
2760,163.829803466797
2759,166.119659423828
2758,164.959503173828
2757,160.983901977539
2756,154.543228149414
2755,145.703048706055
2754,140.201797485352
2753,139.251342773438
2752,140.102035522461
2751,139.562652587891
2750,134.499969482422
2749,126.380035400391
2748,122.581588745117
2747,129.577026367188
2746,138.815307617188
2745,138.390350341797
2744,139.875381469727
2743,138.767425537109
2742,131.651123046875
2741,132.623840332031
2740,128.529266357422
2739,120.210609436035
2738,128.266967773438
2737,138.232192993164
2736,139.950424194336
2735,137.184448242188
2734,140.739181518555
2733,146.65673828125
2732,146.662521362305
2731,140.952194213867
2730,140.369644165039
2729,147.571929931641
2728,151.972518920898
2727,142.961547851563
2726,139.995056152344
2725,156.65788269043
2724,151.09992980957
2723,147.908828735352
2722,163.648529052734
2721,157.761978149414
2720,151.689147949219
2719,158.655258178711
2718,163.995529174805
2717,167.070816040039
2716,171.400207519531
2715,178.589004516602
2714,185.598266601563
2713,197.153701782227
2712,212.261535644531
2711,218.573089599609
2710,222.763854980469
2709,230.719879150391
2708,242.061294555664
2707,260.723510742188
2706,275.865631103516
2705,281.738739013672
2704,306.030853271484
2703,337.322570800781
2702,363.049896240234
2701,402.461853027344
2700,464.922332763672
2699,521.239685058594
2698,527.309265136719
2697,520.164978027344
2696,526.349853515625
2695,535.71337890625
2694,511.897613525391
